season_year,team_id,team_code,team_name_en,team_name_es,country_en,country_es,matches,wins,draws,losses
1996,52269,AJA,Auxerre,Auxerre,France,Francia,8,4,0,4
1996,52806,ROS,Rosenborg,Rosenborg,Norway,Noruega,8,3,1,4
1996,50004,GCZ,Grasshoppers,Grasshoppers,Switzerland,Suiza,6,3,0,3
1996,52692,FEN,Fenerbahçe,Fenerbahçe,Türkiye,Turquía,6,2,1,3
1996,50058,MIL,Milan,Milan,Italy,Italia,6,2,1,3
1996,52752,WID,Widzew,Widzew,Poland,Polonia,6,1,1,4
1996,50065,FCSB,FCSB,FCSB,Romania,Rumanía,6,1,1,4
1996,50121,RAN,Rangers,Rangers,Scotland,Escocia,6,1,0,5
1996,50066,IFK,Göteborg,Göteborg,Sweden,Suecia,6,1,0,5
1996,50042,RAP,SK Rapid,SK Rapid,Austria,Austria,6,0,2,4
1997,50051,RMA,Real Madrid,Real Madrid,Spain,España,11,7,3,1
1997,50139,JUV,Juventus,Juventus,Italy,Italia,11,6,1,4
1997,52758,BVB,B. Dortmund,B. Dortmund,Germany,Alemania,10,6,2,2
1997,50023,MON,Monaco,Monaco,France,Francia,10,5,3,2
1997,52682,MUN,Man Utd,Man Utd,England,Inglaterra,8,5,2,1
1997,50109,LEV,Leverkusen,Leverkusen,Germany,Alemania,8,4,2,2
1997,50037,BAY,Bayern München,Bayern München,Germany,Alemania,8,4,1,3
1997,52723,DKY,Dynamo Kyiv,Dynamo Kyiv,Ukraine,Ucrania,8,3,3,2
1997,52747,PSG,Paris,Paris,France,Francia,6,4,0,2
1997,52806,ROS,Rosenborg,Rosenborg,Norway,Noruega,6,3,2,1
1997,52749,FEY,Feyenoord,Feyenoord,Netherlands,Holanda,6,3,0,3
1997,54262,PAR,Parma,Parma,Italy,Italia,6,2,3,1
1997,50062,PSV,PSV,PSV,Netherlands,Holanda,6,2,3,1
1997,59324,NEW,Newcastle,Newcastle,England,Inglaterra,6,2,1,3
1997,50149,SPO,Sporting CP,Sporting CP,Portugal,Portugal,6,2,1,3
1997,50157,BES,Beşiktaş,Beşiktaş,Türkiye,Turquía,6,2,0,4
1997,50066,IFK,Göteborg,Göteborg,Sweden,Suecia,6,2,0,4
1997,50080,BAR,Barcelona,Barcelona,Spain,España,6,1,2,3
1997,50033,SPA,Sparta Praha,Sparta Praha,Czechia,Chequia,6,1,2,3
1997,2610,OLY,Olympiacos,Olympiacos,Greece,Grecia,6,1,2,3
1997,50067,GAL,Galatasaray,Galatasaray,Türkiye,Turquía,6,1,1,4
1997,50064,POR,Porto,Porto,Portugal,Portugal,6,1,1,4
1997,8404,LIE,Lierse,Lierse,Belgium,Bélgica,6,0,1,5
1997,59029,KOS,Košice,Košice,Slovakia,Eslovaquia,6,0,0,6
1998,50037,BAY,Bayern München,Bayern München,Germany,Alemania,11,6,3,2
1998,52682,MUN,Man Utd,Man Utd,England,Inglaterra,11,5,6,0
1998,52723,DKY,Dynamo Kyiv,Dynamo Kyiv,Ukraine,Ucrania,10,4,4,2
1998,50139,JUV,Juventus,Juventus,Italy,Italia,10,2,7,1
1998,50138,INT,Inter,Inter,Italy,Italia,8,4,2,2
1998,50051,RMA,Real Madrid,Real Madrid,Spain,España,8,4,1,3
1998,3695,KAI,Kaiserslautern,Kaiserslautern,Germany,Alemania,8,4,1,3
1998,2610,OLY,Olympiacos,Olympiacos,Greece,Grecia,8,3,3,2
1998,52806,ROS,Rosenborg,Rosenborg,Norway,Noruega,6,2,2,2
1998,52280,ARS,Arsenal,Arsenal,England,Inglaterra,6,2,2,2
1998,52277,LEN,Lens,Lens,France,Francia,6,2,2,2
1998,50164,DIN,GNK Dinamo,GNK Dinamo,Croatia,Croacia,6,2,2,2
1998,50147,BEN,Benfica,Benfica,Portugal,Portugal,6,2,2,2
1998,50080,BAR,Barcelona,Barcelona,Spain,España,6,2,2,2
1998,50068,SPM,Spartak Moskva,Spartak Moskva,Russia,Rusia,6,2,2,2
1998,50067,GAL,Galatasaray,Galatasaray,Türkiye,Turquía,6,2,2,2
1998,50143,AJX,Ajax,Ajax,Netherlands,Holanda,6,2,1,3
1998,50064,POR,Porto,Porto,Portugal,Portugal,6,2,1,3
1998,50062,PSV,PSV,PSV,Netherlands,Holanda,6,2,1,3
1998,50084,PAN,Panathinaikos,Panathinaikos,Greece,Grecia,6,2,0,4
1998,50125,ATH,Athletic Club,Athletic Club,Spain,España,6,1,3,2
1998,50052,HJK,HJK,HJK,Finland,Finlandia,6,1,2,3
1998,50021,BRO,Brøndby,Brøndby,Denmark,Dinamarca,6,1,0,5
1998,50111,SGR,Sturm Graz,Sturm Graz,Austria,Austria,6,0,1,5
1999,50051,RMA,Real Madrid,Real Madrid,Spain,España,17,10,3,4
1999,52268,VAL,Valencia,Valencia,Spain,España,17,8,4,5
1999,50080,BAR,Barcelona,Barcelona,Spain,España,16,11,3,2
1999,50037,BAY,Bayern München,Bayern München,Germany,Alemania,16,8,5,3
