season_year,team_id,team_code,team_name_en,team_name_es,country_en,country_es,disciplinary__fouls_committed,disciplinary__fouls_suffered,disciplinary__yellow_cards,disciplinary__red_cards,disciplinary__matches_appearance
1992,54266,CSM,CSKA Moskva,CSKA Moskva,Russia,Rusia,,,14.0,,10
1992,50043,BRU,Club Brugge,Club Brugge,Belgium,Bélgica,,,14.0,,10
1992,50062,PSV,PSV,PSV,Netherlands,Holanda,,,13.0,1.0,10
1992,50129,AEK,AEK Athens,AEK Athens,Greece,Grecia,,,13.0,,4
1992,50110,AUS,Austria Wien,Austria Wien,Austria,Austria,,,13.0,,4
1992,50058,MIL,Milan,Milan,Italy,Italia,,,12.0,1.0,11
1992,52748,MAR,Marseille,Marseille,France,Francia,,,12.0,,11
1992,50064,POR,Porto,Porto,Portugal,Portugal,,,12.0,,10
1992,50121,RAN,Rangers,Rangers,Scotland,Escocia,,,8.0,1.0,10
1992,50066,IFK,Göteborg,Göteborg,Sweden,Suecia,,,8.0,,10
1992,50098,DB,Dinamo Bucureşti,Dinamo Bucureşti,Romania,Rumanía,,,8.0,,4
1992,50076,CSS,CSKA Sofia,CSKA Sofia,Bulgaria,Bulgaria,,,8.0,,2
1992,53361,LEE,Leeds,Leeds,England,Inglaterra,,,6.0,,5
1992,50107,STU,Stuttgart,Stuttgart,Germany,Alemania,,,5.0,,3
1992,64227,LPO,Lech Poznań,Lech Poznań,Poland,Polonia,,,4.0,,4
1992,52797,SLB,S. Bratislava,S. Bratislava,Slovakia,Eslovaquia,,,4.0,,4
1992,50157,BES,Beşiktaş,Beşiktaş,Türkiye,Turquía,,,4.0,,2
1992,50118,APO,APOEL,APOEL,Cyprus,Chipre,,,4.0,,2
1992,50020,LYN,Lyngby,Lyngby,Denmark,Dinamarca,,,4.0,,2
1992,52824,SIO,Sion,Sion,Switzerland,Suiza,,,3.0,,4
1992,50080,BAR,Barcelona,Barcelona,Spain,España,,,3.0,,4
1992,57477,MTA,M. Tel-Aviv,M. Tel-Aviv,Israel,Israel,,,3.0,,2
1992,50082,LAH,Lahti,Lahti,Finland,Finlandia,,,3.0,,2
1992,50056,GLE,Glentoran,Glentoran,Northern Ireland,Irlanda del Norte,,,3.0,,2
1992,57489,TAV,Tavriya,Tavriya,Ukraine,Ucrania,,,2.0,1.0,2
1992,52298,FER,Ferencváros,Ferencváros,Hungary,Hungría,,,2.0,1.0,2
1992,2602334,ZAL,Žalgiris,Žalgiris,Lithuania,Lituania,,,2.0,,2
1992,57479,SKO,Skonto,Skonto,Latvia,Letonia,,,1.0,,2
1992,52697,VKR,Víkingur R.,Víkingur R.,Iceland,Islandia,,,1.0,,2
1992,52319,VFK,Viking,Viking,Norway,Noruega,,,1.0,,2
1992,50140,USL,US Luxembourg,US Luxembourg,Luxembourg,Luxemburgo,,,1.0,,2
1992,53081,OLJ,Olimpija,Olimpija,Slovenia,Eslovenia,,,,1.0,2
1993,50058,MIL,Milan,Milan,Italy,Italia,,,19.0,2.0,12
1993,50064,POR,Porto,Porto,Portugal,Portugal,,,19.0,1.0,11
1993,50040,BRM,Bremen,Bremen,Germany,Alemania,,,18.0,1.0,10
1993,50023,MON,Monaco,Monaco,France,Francia,,,16.0,1.0,11
1993,50067,GAL,Galatasaray,Galatasaray,Türkiye,Turquía,,,15.0,1.0,10
1993,50080,BAR,Barcelona,Barcelona,Spain,España,,,15.0,,12
1993,50110,AUS,Austria Wien,Austria Wien,Austria,Austria,,,13.0,,4
1993,50074,AND,Anderlecht,Anderlecht,Belgium,Bélgica,,,12.0,,10
1993,50068,SPM,Spartak Moskva,Spartak Moskva,Russia,Rusia,,,9.0,2.0,10
1993,50065,FCSB,FCSB,FCSB,Romania,Rumanía,,,7.0,1.0,4
1993,52749,FEY,Feyenoord,Feyenoord,Netherlands,Holanda,,,6.0,2.0,4
