season_year,team_id,team_code,team_name_en,team_name_es,country_en,country_es,goalkeeping__saves,goalkeeping__goals_conceded,goalkeeping__own_goal_conceded,goalkeeping__saves_on_penalty,goalkeeping__clean_sheet,goalkeeping__punches,goalkeeping__matches_appearance
1994,50065,FCSB,FCSB,FCSB,Romania,Rumanía,,6,,,1.0,,6
1994,50143,AJX,Ajax,Ajax,Netherlands,Holanda,,4,,,8.0,,11
1995,52298,FER,Ferencváros,Ferencváros,Hungary,Hungría,,19,,,1.0,,6
1995,52806,ROS,Rosenborg,Rosenborg,Norway,Noruega,,16,,,1.0,,6
1995,50121,RAN,Rangers,Rangers,Scotland,Escocia,,14,,,,,6
1995,50004,GCZ,Grasshoppers,Grasshoppers,Switzerland,Suiza,,13,,,1.0,,6
1995,52693,NAN,Nantes,Nantes,France,Francia,,12,,,4.0,,10
1995,54186,AAL,AaB,AaB,Denmark,Dinamarca,,12,,,,,6
1995,50146,LEG,Legia Warszawa,Legia Warszawa,Poland,Polonia,,11,,,3.0,,8
1995,52758,BVB,B. Dortmund,B. Dortmund,Germany,Alemania,,11,,,2.0,,8
1995,50139,JUV,Juventus,Juventus,Italy,Italia,,9,,,5.0,,11
1995,50068,SPM,Spartak Moskva,Spartak Moskva,Russia,Rusia,,8,,,3.0,,8
1995,53344,BLA,Blackburn,Blackburn,England,Inglaterra,,8,,,1.0,,6
1995,50051,RMA,Real Madrid,Real Madrid,Spain,España,,7,,,3.0,,8
1995,50084,PAN,Panathinaikos,Panathinaikos,Greece,Grecia,,6,,,7.0,,10
1995,50065,FCSB,FCSB,FCSB,Romania,Rumanía,,5,,,3.0,,6
1995,50064,POR,Porto,Porto,Portugal,Portugal,,5,,,3.0,,6
1995,50143,AJX,Ajax,Ajax,Netherlands,Holanda,,3,,,8.0,,11
1996,50065,FCSB,FCSB,FCSB,Romania,Rumanía,,15,,,1.0,,6
1996,52806,ROS,Rosenborg,Rosenborg,Norway,Noruega,,14,,,1.0,,8
1996,50143,AJX,Ajax,Ajax,Netherlands,Holanda,,13,,,3.0,,10
1996,50121,RAN,Rangers,Rangers,Scotland,Escocia,,13,,,,,6
1996,50066,IFK,Göteborg,Göteborg,Sweden,Suecia,,13,,,,,6
1996,50042,RAP,SK Rapid,SK Rapid,Austria,Austria,,12,,,,,6
1996,52269,AJA,Auxerre,Auxerre,France,Francia,,11,,,1.0,,8
1996,50058,MIL,Milan,Milan,Italy,Italia,,11,,,,,6
1996,52752,WID,Widzew,Widzew,Poland,Polonia,,10,1.0,,1.0,,6
1996,52758,BVB,B. Dortmund,B. Dortmund,Germany,Alemania,,10,,,5.0,,11
1996,50064,POR,Porto,Porto,Portugal,Portugal,,8,,,4.0,,8
1996,50124,ATM,Atleti,Atleti,Spain,España,,8,,,2.0,,8
1996,50139,JUV,Juventus,Juventus,Italy,Italia,,7,,,6.0,,11
1996,52692,FEN,Fenerbahçe,Fenerbahçe,Türkiye,Turquía,,6,,,2.0,,6
1996,52682,MUN,Man Utd,Man Utd,England,Inglaterra,,5,,,5.0,,10
1996,50004,GCZ,Grasshoppers,Grasshoppers,Switzerland,Suiza,,5,,,2.0,,6
1997,50139,JUV,Juventus,Juventus,Italy,Italia,,15,1.0,,2.0,,11
1997,50023,MON,Monaco,Monaco,France,Francia,,15,,,3.0,,10
1997,50080,BAR,Barcelona,Barcelona,Spain,España,,14,1.0,,1.0,,6
1997,2610,OLY,Olympiacos,Olympiacos,Greece,Grecia,,14,,,2.0,,6
1997,59029,KOS,Košice,Košice,Slovakia,Eslovaquia,,13,1.0,,,,6
1997,8404,LIE,Lierse,Lierse,Belgium,Bélgica,,12,,,,,6
1997,50109,LEV,Leverkusen,Leverkusen,Germany,Alemania,,11,,,3.0,,8
1997,52723,DKY,Dynamo Kyiv,Dynamo Kyiv,Ukraine,Ucrania,,11,,,2.0,,8
1997,50033,SPA,Sparta Praha,Sparta Praha,Czechia,Chequia,,11,,,2.0,,6
1997,50149,SPO,Sporting CP,Sporting CP,Portugal,Portugal,,11,,,1.0,,6
1997,50067,GAL,Galatasaray,Galatasaray,Türkiye,Turquía,,11,,,1.0,,6
1997,50064,POR,Porto,Porto,Portugal,Portugal,,11,,,,,6
1997,52749,FEY,Feyenoord,Feyenoord,Netherlands,Holanda,,10,,,3.0,,6
1997,52747,PSG,Paris,Paris,France,Francia,,10,,,2.0,,6
1997,50066,IFK,Göteborg,Göteborg,Sweden,Suecia,,9,1.0,,1.0,,6
1997,50157,BES,Beşiktaş,Beşiktaş,Türkiye,Turquía,,9,,,1.0,,6
1997,52806,ROS,Rosenborg,Rosenborg,Norway,Noruega,,8,,,2.0,,6
1997,50062,PSV,PSV,PSV,Netherlands,Holanda,,8,,,2.0,,6
1997,59324,NEW,Newcastle,Newcastle,England,Inglaterra,,8,,,1.0,,6
1997,50037,BAY,Bayern München,Bayern München,Germany,Alemania,,7,1.0,,3.0,,8
1997,52682,MUN,Man Utd,Man Utd,England,Inglaterra,,6,,,3.0,,8
1997,50051,RMA,Real Madrid,Real Madrid,Spain,España,,5,,,7.0,,11
1997,52758,BVB,B. Dortmund,B. Dortmund,Germany,Alemania,,5,,,6.0,,10
1997,54262,PAR,Parma,Parma,Italy,Italia,,5,,,3.0,,6
1998,50021,BRO,Brøndby,Brøndby,Denmark,Dinamarca,,18,,,,,6
1998,52682,MUN,Man Utd,Man Utd,England,Inglaterra,,16,,,2.0,,11
1998,50111,SGR,Sturm Graz,Sturm Graz,Austria,Austria,,16,,,1.0,,6
1998,3695,KAI,Kaiserslautern,Kaiserslautern,Germany,Alemania,,12,,,2.0,,8
