season_year,team_id,team_code,team_name_en,team_name_es,country_en,country_es,goals__goals,goals__goals_scored_with_right,goals__goals_scored_with_left,goals__goals_scored_head,goals__goals_scored_inside_penalty_area,goals__goals_scored_outside_penalty_area,goals__penalty_scored,goals__matches_appearance
1992,50157,BES,Beşiktaş,Beşiktaş,Türkiye,Turquía,2,,,,,,,2
1992,52298,FER,Ferencváros,Ferencváros,Hungary,Hungría,1,,,,,,,2
1992,50140,USL,US Luxembourg,US Luxembourg,Luxembourg,Luxemburgo,1,,,,,,,2
1992,50082,LAH,Lahti,Lahti,Finland,Finlandia,1,,,,,,,2
1992,57479,SKO,Skonto,Skonto,Latvia,Letonia,0,,,,,,,2
1992,57477,MTA,M. Tel-Aviv,M. Tel-Aviv,Israel,Israel,0,,,,,,,2
1992,53081,OLJ,Olimpija,Olimpija,Slovenia,Eslovenia,0,,,,,,,2
1992,52319,VFK,Viking,Viking,Norway,Noruega,0,,,,,,,2
1992,50056,GLE,Glentoran,Glentoran,Northern Ireland,Irlanda del Norte,0,,,,,,,2
1992,50020,LYN,Lyngby,Lyngby,Denmark,Dinamarca,0,,,,,,,2
1992,2602334,ZAL,Žalgiris,Žalgiris,Lithuania,Lituania,0,,,,,,,2
1993,50080,BAR,Barcelona,Barcelona,Spain,España,26,,,,,,4.0,12
1993,50068,SPM,Spartak Moskva,Spartak Moskva,Russia,Rusia,22,,,,,,,10
1993,50058,MIL,Milan,Milan,Italy,Italia,21,,,,,,,12
1993,50040,BRM,Bremen,Bremen,Germany,Alemania,20,,,,,,2.0,10
1993,50074,AND,Anderlecht,Anderlecht,Belgium,Bélgica,16,,,,,,,10
1993,50023,MON,Monaco,Monaco,France,Francia,15,,,,,,1.0,11
1993,50064,POR,Porto,Porto,Portugal,Portugal,13,,,,,,1.0,11
1993,64227,LPO,Lech Poznań,Lech Poznań,Poland,Polonia,9,,,,,,2.0,4
1993,52682,MUN,Man Utd,Man Utd,England,Inglaterra,8,,,,,,,4
1993,50067,GAL,Galatasaray,Galatasaray,Türkiye,Turquía,7,,,,,,,10
1993,50110,AUS,Austria Wien,Austria Wien,Austria,Austria,6,,,,,,1.0,4
1993,50065,FCSB,FCSB,FCSB,Romania,Rumanía,6,,,,,,1.0,4
1993,50044,LSO,Levski Sofia,Levski Sofia,Bulgaria,Bulgaria,6,,,,,,,4
1993,52806,ROS,Rosenborg,Rosenborg,Norway,Noruega,4,,,,,,1.0,2
1993,52723,DKY,Dynamo Kyiv,Dynamo Kyiv,Ukraine,Ucrania,4,,,,,,1.0,2
1993,52709,CPH,Copenhagen,Copenhagen,Denmark,Dinamarca,4,,,,,,,4
1993,50033,SPA,Sparta Praha,Sparta Praha,Czechia,Chequia,4,,,,,,,4
1993,50164,DIN,GNK Dinamo,GNK Dinamo,Croatia,Croacia,4,,,,,,,2
1993,50121,RAN,Rangers,Rangers,Scotland,Escocia,4,,,,,,,2
1993,52749,FEY,Feyenoord,Feyenoord,Netherlands,Holanda,3,,,,,,,4
1993,50161,DMI,Dinamo-Minsk,Dinamo-Minsk,Belarus,Bielorrusia,3,,,,,,,2
1993,50134,LIN,Linfield,Linfield,Northern Ireland,Irlanda del Norte,3,,,,,,,2
1993,50054,HON,Honvéd,Honvéd,Hungary,Hungría,3,,,,,,,2
1993,59034,BEI,Beitar,Beitar,Israel,Israel,2,,,,,,,2
1993,52803,COR,Cork,Cork,Republic of Ireland,República de Irlanda,1,,,,,,,2
1993,52341,AIK,AIK,AIK,Sweden,Suecia,1,,,,,,,2
1993,50135,AKR,ÍA,ÍA,Iceland,Islandia,1,,,,,,,2
1993,50129,AEK,AEK Athens,AEK Athens,Greece,Grecia,1,,,,,,,2
